key,value,date
creativecode,1,01/01/11
creativecode,20,01/01/12
creativecode,0,01/01/13
creativecode,0,01/01/14
creativecode,1,01/01/15
creativecode,1,01/01/16
creativecode,1,01/01/17
creativecode,0,01/01/18
code,0,01/01/11
code,0,01/01/12
code,0,01/01/13
code,0,01/01/14
code,0,01/01/15
code,3,01/01/16
code,0,01/01/17
code,0,01/01/18
opensource,0,01/01/11
opensource,1,01/01/12
opensource,0,01/01/13
opensource,0,01/01/14
opensource,3,01/01/15
opensource,2,01/01/16
opensource,0,01/01/17
opensource,0,01/01/18
interactiveart,0,01/01/11
interactiveart,0,01/01/12
interactiveart,6,01/01/13
interactiveart,16,01/01/14
interactiveart,41,01/01/15
interactiveart,0,01/01/16
interactiveart,0,01/01/17
interactiveart,0,01/01/18
clouds,0,01/01/11
clouds,0,01/01/12
clouds,0,01/01/13
clouds,0,01/01/14
clouds,1,01/01/15
clouds,1,01/01/16
clouds,0,01/01/17
clouds,0,01/01/18
datavisualization,3,01/01/11
datavisualization,14,01/01/12
datavisualization,40,01/01/13
datavisualization,33,01/01/14
datavisualization,48,01/01/15
datavisualization,42,01/01/16
datavisualization,35,01/01/17
datavisualization,0,01/01/18
design,0,01/01/11
design,2,01/01/12
design,6,01/01/13
design,0,01/01/14
design,3,01/01/15
design,8,01/01/16
design,27,01/01/17
design,0,01/01/18
creativecoding,0,01/01/11
creativecoding,0,01/01/12
creativecoding,0,01/01/13
creativecoding,0,01/01/14
creativecoding,1,01/01/15
creativecoding,0,01/01/16
creativecoding,26,01/01/17
creativecoding,0,01/01/18
soundart,0,01/01/11
soundart,0,01/01/12
soundart,0,01/01/13
soundart,0,01/01/14
soundart,0,01/01/15
soundart,1,01/01/16
soundart,1,01/01/17
soundart,0,01/01/18
userexperiencedesign,0,01/01/11
userexperiencedesign,0,01/01/12
userexperiencedesign,0,01/01/13
userexperiencedesign,0,01/01/14
userexperiencedesign,0,01/01/15
userexperiencedesign,2,01/01/16
userexperiencedesign,0,01/01/17
userexperiencedesign,0,01/01/18
music,0,01/01/11
music,0,01/01/12
music,0,01/01/13
music,0,01/01/14
music,1,01/01/15
music,3,01/01/16
music,1,01/01/17
music,0,01/01/18
meshu,0,01/01/11
meshu,0,01/01/12
meshu,0,01/01/13
meshu,0,01/01/14
meshu,1,01/01/15
meshu,1,01/01/16
meshu,0,01/01/17
meshu,0,01/01/18
openframeworks,1,01/01/11
openframeworks,4,01/01/12
openframeworks,0,01/01/13
openframeworks,0,01/01/14
openframeworks,3,01/01/15
openframeworks,2,01/01/16
openframeworks,0,01/01/17
openframeworks,0,01/01/18
maps,0,01/01/11
maps,0,01/01/12
maps,0,01/01/13
maps,0,01/01/14
maps,1,01/01/15
maps,3,01/01/16
maps,0,01/01/17
maps,0,01/01/18
dataarts,2,01/01/11
dataarts,2,01/01/12
dataarts,0,01/01/13
dataarts,0,01/01/14
